Entry	EC number	Protein families	Enzyme class
Q8IXK2	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8IXL6	2.7.11.1	FAM20 family	Transferases
Q8IXQ6	2.4.2.-	ARTD/PARP family	Transferases
Q8IXQ9	2.1.1.-	Methyltransferase superfamily, ETFBKMT family	Transferases
Q8IY81	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, RNA methyltransferase RlmE family, SPB1 subfamily	Transferases
Q8IY84	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q8IYB1	2.7.7.-	Mab-21 family	Transferases
Q8IYK4	2.4.1.50	Glycosyltransferase 25 family	Transferases
Q8IYM9	2.3.2.27	TRIM/RBCC family	Transferases
Q8IYP9	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q8IYR2	2.1.1.-	Class V-like SAM-binding methyltransferase superfamily	Transferases
Q8IYT2	2.1.1.296		Transferases
Q8IYT8	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily	Transferases
Q8IYU2	2.3.2.26		Transferases
Q8IYW5	2.3.2.27	RNF168 family	Transferases
Q8IZ52	2.4.1.175; 2.4.1.226	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q8IZ69	2.1.1.-; 2.1.1.35	Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family	Transferases
Q8IZL9	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q8IZN3	2.3.1.225	DHHC palmitoyltransferase family, ERF2/ZDHHC9 subfamily	Transferases
Q8IZT8	2.8.2.23	Sulfotransferase 1 family	Transferases
Q8N0V5	2.4.1.150	Glycosyltransferase 14 family	Transferases
Q8N0W3	2.7.1.52	GHMP kinase family	Transferases
Q8N0X4	2.3.3.-; 2.3.3.9; 3.1.2.30; 4.1.3.25	HpcH/HpaI aldolase family, Citrate lyase beta subunit-like subfamily	Transferases
Q8N159	2.3.1.1	Acetyltransferase family	Transferases
Q8N165	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q8N1G2	2.1.1.57		Transferases
Q8N2H9	2.3.2.27	Pellino family	Transferases
Q8N2I9	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q8N2K1	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q8N2W9	2.3.2.27	PIAS family	Transferases
Q8N394	2.4.1.109	TMTC family	Transferases
Q8N3A8	2.4.2.-	ARTD/PARP family	Transferases
Q8N3J2	2.1.1.-; 2.1.1.72	MT-A70-like family	Transferases
Q8N3T1	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8N3Y3	2.4.-.-; 2.4.1.-; 2.4.2.-	Glycosyltransferase 49 family; Glycosyltransferase 8 family	Transferases
Q8N428	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8N4A0	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8N4C8	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q8N4J0	2.1.1.22	Carnosine N-methyltransferase family	Transferases
Q8N568	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q8N5B7	2.3.1.24; 2.3.1.291		Transferases
Q8N5D6	2.4.1.-	Glycosyltransferase 6 family	Transferases
Q8N5S9	2.7.11.17	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q8N5U6	2.3.2.27	RNF10 family	Transferases
Q8N5Y8	2.4.2.-	ARTD/PARP family	Transferases
Q8N5Z0	2.6.1.39; 2.6.1.4; 2.6.1.63; 2.6.1.7; 2.6.1.73	Class-I pyridoxal-phosphate-dependent aminotransferase family	Transferases
Q8N6D2	2.3.2.27		Transferases
Q8N6G5	2.4.1.174	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q8N6R0	2.1.1.-	Methyltransferase superfamily	Transferases
Q8N6T7	2.3.1.-; 2.3.1.286; 2.4.2.-	Sirtuin family, Class IV subfamily	Transferases
Q8N752	2.7.11.1	Protein kinase superfamily, CK1 Ser/Thr protein kinase family, Casein kinase I subfamily	Transferases
Q8N7C3	2.3.2.27		Transferases
Q8N7E2	2.3.2.27		Transferases
Q8N884	2.7.7.86	Mab-21 family	Transferases
Q8N8N0	2.3.2.27	RNF152 family	Transferases
Q8N8W4	2.3.1.296		Transferases
Q8N966	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q8N9F0	2.3.1.17	Camello family	Transferases
Q8N9I9	2.3.2.27	Deltex family	Transferases
Q8NA82	2.3.2.27		Transferases
Q8NAT1	2.4.1.312	Glycosyltransferase 61 family	Transferases
Q8NB12	2.1.1.354	Class V-like SAM-binding methyltransferase superfamily	Transferases
Q8NBI6	2.4.2.62	Glycosyltransferase 8 family	Transferases
Q8NBJ5	2.4.1.50	Glycosyltransferase 25 family	Transferases
Q8NBL1	2.4.1.376; 2.4.2.63	Glycosyltransferase 90 family	Transferases
Q8NC42	2.3.2.27		Transferases
Q8NCC3	2.3.1.-; 3.1.1.32; 3.1.1.4; 3.1.1.5	AB hydrolase superfamily, Lipase family	Transferases
Q8NCG5	2.8.2.-	Sulfotransferase 1 family, Gal/GlcNAc/GalNAc subfamily	Transferases
Q8NCH0	2.8.2.35	Sulfotransferase 2 family	Transferases
Q8NCL4	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8NCN4	2.3.2.27	RNF169 family	Transferases
Q8NCR0	2.4.1.313	Glycosyltransferase 31 family	Transferases
Q8NCW6	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q8ND25	2.3.2.27		Transferases
Q8NDF8	2.7.7.-; 2.7.7.19	DNA polymerase type-B-like family	Transferases
Q8NDV1	2.4.3.7	Glycosyltransferase 29 family	Transferases
Q8NE63	2.7.11.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, HIPK subfamily	Transferases
Q8NEB9	2.7.1.137	PI3/PI4-kinase family	Transferases
Q8NEK8	2.7.7.19	TENT family	Transferases
Q8NER5	2.7.11.30	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	Transferases
Q8NES3	2.4.1.222	Glycosyltransferase 31 family	Transferases
Q8NET6	2.8.2.5	Sulfotransferase 2 family	Transferases
Q8NEV1	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, CK2 subfamily	Transferases
Q8NEV4	2.7.11.1	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family; Protein kinase superfamily, STE Ser/Thr protein kinase family	Transferases
Q8NEZ4	2.1.1.364	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily	Transferases
Q8NF37	2.3.1.23; 2.3.1.25; 2.3.1.51; 2.3.1.67	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q8NFD2	2.7.11.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q8NFF5	2.7.7.2	MoaB/Mog family; PAPS reductase family, FAD1 subfamily	Transferases
Q8NFL0	2.4.1.-	Glycosyltransferase 31 family	Transferases
Q8NFU3	2.8.1.3		Transferases
Q8NFU5	2.7.1.140; 2.7.1.151; 2.7.1.153	Inositol phosphokinase (IPK) family	Transferases
Q8NFW8	2.7.7.43	CMP-NeuNAc synthase family	Transferases
Q8NG06	2.3.2.27	TRIM/RBCC family	Transferases
Q8NG27	2.3.2.27		Transferases
Q8NG66	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q8NHG8	2.3.2.27		Transferases
Q8NHU3	2.7.8.27	Sphingomyelin synthase family	Transferases
Q8NHY0	2.4.1.-	Glycosyltransferase 2 family	Transferases
Q8NHY2	2.3.2.27	COP1 family	Transferases
Q8NI60	2.7.-.-	Protein kinase superfamily, ADCK protein kinase family	Transferases
Q8TAS1	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q8TBB1	2.3.2.27		Transferases
Q8TBK2	2.1.1.-	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, SETD6 subfamily	Transferases
Q8TBX8	2.7.1.149		Transferases
Q8TBZ6	2.1.1.221	Class IV-like SAM-binding methyltransferase superfamily, TRM10 family	Transferases
Q8TC41	2.3.2.31	RBR family, RNF217 subfamily	Transferases
Q8TCB7	2.1.1.-	Methyltransferase superfamily, METL family	Transferases
Q8TCG2	2.7.1.67	PI3/PI4-kinase family, Type II PI4K subfamily	Transferases
Q8TCJ2	2.4.99.18	STT3 family	Transferases
Q8TCQ1	2.3.2.27		Transferases
Q8TCS8	2.7.7.8	Polyribonucleotide nucleotidyltransferase family	Transferases
Q8TCT0	2.7.1.138		Transferases
Q8TD08	2.7.11.24	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MAP kinase subfamily	Transferases
Q8TD19	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q8TD30	2.6.1.2	Class-I pyridoxal-phosphate-dependent aminotransferase family, Alanine aminotransferase subfamily	Transferases
Q8TDB6	2.3.2.27	Deltex family	Transferases
Q8TDC3	2.7.11.1; 2.7.11.26	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
Q8TDR2	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q8TDX6	2.4.1.174	Chondroitin N-acetylgalactosaminyltransferase family	Transferases
Q8TDX7	2.7.11.34	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q8TE04	2.7.1.33	Type II pantothenate kinase family	Transferases
Q8TEA1	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family	Transferases
Q8TEB7	2.3.2.27		Transferases
Q8TEC5	2.3.2.27	SH3RF family	Transferases
Q8TEJ3	2.3.2.27	SH3RF family	Transferases
Q8TEK3	2.1.1.360	Class I-like SAM-binding methyltransferase superfamily, DOT1 family	Transferases
Q8TEQ8	2.-.-.-	PIGG/PIGN/PIGO family, PIGO subfamily	Transferases
Q8TF76	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, Haspin subfamily	Transferases
Q8WTQ7	2.7.11.14	Protein kinase superfamily, AGC Ser/Thr protein kinase family, GPRK subfamily	Transferases
Q8WTS1	2.3.1.51	Peptidase S33 family, ABHD4/ABHD5 subfamily	Transferases
Q8WTS6	2.1.1.364	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, SET7 subfamily	Transferases
Q8WTX9	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q8WU03	2.3.1.13	Glycine N-acyltransferase family	Transferases
Q8WU08	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q8WU17	2.3.2.27		Transferases
Q8WUD6	2.7.8.2	CDP-alcohol phosphatidyltransferase class-I family	Transferases
Q8WV22	2.3.2.27	NSE1 family	Transferases
Q8WV44	2.3.2.27	TRIM/RBCC family	Transferases
Q8WVD3	2.3.2.27		Transferases
Q8WVM0	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, rRNA adenine N(6)-methyltransferase family, KsgA subfamily	Transferases
Q8WVN8	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q8WVZ1	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q8WVZ7	2.3.2.27		Transferases
Q8WWF5	2.3.2.27		Transferases
Q8WXB1	2.1.1.-	Methyltransferase superfamily, METTL21 family	Transferases
Q8WXR4	2.7.11.1	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family; Protein kinase superfamily, STE Ser/Thr protein kinase family	Transferases
Q8WY64	2.3.2.27		Transferases
Q8WYB5	2.3.1.48	MYST (SAS/MOZ) family	Transferases
Q8WZ04	2.1.1.6	Class I-like SAM-binding methyltransferase superfamily, Cation-dependent O-methyltransferase family	Transferases
Q8WZ42	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q8WZ73	2.3.2.27		Transferases
Q8WZA1	2.4.1.-	Glycosyltransferase 13 family	Transferases
Q92185	2.4.3.8	Glycosyltransferase 29 family	Transferases
Q92186	2.4.3.-	Glycosyltransferase 29 family	Transferases
Q92187	2.4.3.-	Glycosyltransferase 29 family	Transferases
Q92521	2.4.1.-	Glycosyltransferase 22 family, PIGB subfamily	Transferases
Q92523	2.3.1.21	Carnitine/choline acetyltransferase family	Transferases
Q92551	2.7.4.21	Inositol phosphokinase (IPK) family	Transferases
Q92604	2.3.1.-; 2.3.1.22; 2.3.1.62	1-acyl-sn-glycerol-3-phosphate acyltransferase family	Transferases
Q92630	2.7.12.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, MNB/DYRK subfamily	Transferases
Q92685	2.4.1.258	Glycosyltransferase 58 family	Transferases
Q92696	2.5.1.60	Protein prenyltransferase subunit alpha family	Transferases
Q92772	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q92793	2.3.1.-; 2.3.1.48		Transferases
Q92794	2.3.1.48	MYST (SAS/MOZ) family	Transferases
Q92800	2.1.1.356	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, EZ subfamily	Transferases
Q92819	2.4.1.212	NodC/HAS family	Transferases
Q92830	2.3.1.-; 2.3.1.48	Acetyltransferase family, GCN5 subfamily	Transferases
Q92831	2.3.1.48; 2.3.1.57	Acetyltransferase family, GCN5 subfamily	Transferases
Q92839	2.4.1.212	NodC/HAS family	Transferases
Q92903	2.7.7.41	CDS family	Transferases
Q92918	2.7.11.1	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Transferases
Q92935	2.4.1.224	Glycosyltransferase 47 family	Transferases
Q92979	2.1.1.-	Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase NEP1 family	Transferases
Q92989	2.7.1.78	Clp1 family, Clp1 subfamily	Transferases
Q92993	2.3.1.-; 2.3.1.48	MYST (SAS/MOZ) family	Transferases
Q93015	2.3.1.-	Acetyltransferase family	Transferases
Q93063	2.4.1.224	Glycosyltransferase 47 family	Transferases
Q93070	2.4.2.31	Arg-specific ADP-ribosyltransferase family	Transferases
Q93088	2.1.1.5		Transferases
Q969G6	2.7.1.26		Transferases
Q969K3	2.3.2.27		Transferases
Q969M7	2.3.2.34	Ubiquitin-conjugating enzyme family, UBE2F subfamily	Transferases
Q969Q1	2.3.2.27		Transferases
Q969T4	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q969V5	2.3.2.27		Transferases
Q969W1	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q969X2	2.4.99.-	Glycosyltransferase 29 family	Transferases
Q96A09	2.7.7.19	TENT family	Transferases
Q96A11	2.8.2.-	Galactose-3-O-sulfotransferase family	Transferases
Q96A37	2.3.2.27		Transferases
Q96A61	2.3.2.27	TRIM/RBCC family	Transferases
Q96AX9	2.3.2.27		Transferases
Q96AZ1	2.1.1.-	Methyltransferase superfamily, METTL21 family	Transferases
Q96B02	2.3.2.23; 2.3.2.25	Ubiquitin-conjugating enzyme family	Transferases
Q96BH1	2.3.2.27	RNF25 family	Transferases
Q96BR1	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
Q96BT7	2.1.1.229	AlkB family	Transferases
Q96BW9	2.7.7.41	TAM41 family	Transferases
Q96C11	2.7.1.47	FGGY kinase family	Transferases
Q96C45	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily	Transferases
Q96CA5	2.3.2.27	IAP family	Transferases
Q96CB9	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family	Transferases
Q96D53	2.7.-.-	Protein kinase superfamily, ADCK protein kinase family	Transferases
Q96D59	2.3.2.27		Transferases
Q96DP5	2.1.2.9	Fmt family	Transferases
Q96DU7	2.7.1.127	Inositol phosphokinase (IPK) family	Transferases
Q96E22	2.5.1.87	UPP synthase family	Transferases
Q96EB6	2.3.1.-; 2.3.1.286	Sirtuin family, Class I subfamily	Transferases
Q96EK6	2.3.1.4	Acetyltransferase family, GNA1 subfamily	Transferases
Q96EN8	2.8.1.9	Class-V pyridoxal-phosphate-dependent aminotransferase family, MOCOS subfamily	Transferases
Q96EP0	2.3.2.31	RBR family	Transferases
Q96EP1	2.3.2.27	CHFR family	Transferases
Q96EQ8	2.3.2.27		Transferases
Q96EY8	2.5.1.-	Cob(I)alamin adenosyltransferase family	Transferases
Q96F10	2.3.1.-; 2.3.1.57	Acetyltransferase family	Transferases
Q96F44	2.3.2.27	TRIM/RBCC family	Transferases
Q96FA3	2.3.2.27	Pellino family	Transferases
Q96FL9	2.4.1.41	Glycosyltransferase 2 family, GalNAc-T subfamily	Transferases
Q96FX7	2.1.1.-; 2.1.1.220	Class I-like SAM-binding methyltransferase superfamily, TRM61 family	Transferases
Q96G04	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, EEF2KMT family	Transferases
Q96G23	2.3.1.24; 2.3.1.297		Transferases
Q96G75	2.3.2.27		Transferases
Q96GD4	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily	Transferases
Q96GF1	2.3.2.27		Transferases
Q96GJ1	2.1.1.-; 2.1.1.35	Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family	Transferases
Q96GR4	2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q96GX5	2.7.11.1	Protein kinase superfamily, AGC Ser/Thr protein kinase family	Transferases
Q96H96	2.5.1.39	UbiA prenyltransferase family	Transferases
Q96IP4	2.7.7.19	TENT family	Transferases
Q96IU4	2.3.1.-	AB hydrolase superfamily, ABHD14 family	Transferases
Q96IZ6	2.1.1.-	Methyltransferase superfamily, METL family	Transferases
Q96J02	2.3.2.26		Transferases
Q96J92	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily	Transferases
Q96JF0	2.4.3.1	Glycosyltransferase 29 family	Transferases
Q96JP5	2.3.2.27	Krueppel C2H2-type zinc-finger protein family	Transferases
Q96K19	2.3.2.27		Transferases
Q96KB5	2.7.12.2	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily	Transferases
Q96KN8	2.3.1.-; 3.1.1.32; 3.1.1.4	H-rev107 family	Transferases
Q96KQ7	2.1.1.-; 2.1.1.367	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily	Transferases
Q96L34	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily	Transferases
Q96L58	2.4.1.134	Glycosyltransferase 31 family	Transferases
Q96L73	2.1.1.357	Class V-like SAM-binding methyltransferase superfamily	Transferases
Q96L96	2.7.11.1	Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily	Transferases
Q96LA8	2.1.1.319	Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family, PRMT6 subfamily	Transferases
Q96LD4	2.3.2.27	TRIM/RBCC family	Transferases
Q96LR5	2.3.2.23	Ubiquitin-conjugating enzyme family	Transferases
Q96LT4	2.7.8.-	Sphingomyelin synthase family	Transferases
Q96LW2	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q96LW4	2.7.7.102; 2.7.7.7	Eukaryotic-type primase small subunit family	Transferases
Q96M02	2.3.2.-		Transferases
Q96M32	2.7.4.3; 2.7.4.6	Adenylate kinase family; Dpy-30 family	Transferases
Q96MA6	2.7.4.3; 2.7.4.6	Adenylate kinase family	Transferases
Q96MF7	2.3.2.-	NSE2 family	Transferases
Q96MH6	2.3.1.-; 2.3.1.20; 2.3.1.22	Diacylglycerol acyltransferase family	Transferases
Q96MM7	2.8.2.-	Sulfotransferase 6 family	Transferases
Q96MV8	2.3.1.-; 2.3.1.225	DHHC palmitoyltransferase family	Transferases
Q96N66	2.3.1.-	Membrane-bound acyltransferase family	Transferases
Q96NX5	2.7.11.17	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily	Transferases
Q96P11	2.1.1.-	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family	Transferases
Q96PB1	2.3.1.45	PC-esterase family, CASD1 subfamily	Transferases
Q96PC2	2.7.4.21	Inositol phosphokinase (IPK) family	Transferases
Q96PD6	2.3.1.22	Diacylglycerol acyltransferase family	Transferases
Q96PD7	2.3.1.20; 2.3.1.76	Diacylglycerol acyltransferase family	Transferases
Q96PF1	2.3.2.13	Transglutaminase superfamily, Transglutaminase family	Transferases
Q96PF2	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q96PM5	2.3.2.27		Transferases
Q96PN8	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q96PU4	2.3.2.27		Transferases
Q96PU5	2.3.2.26; 2.3.2.36		Transferases
Q96PX1	2.3.2.27		Transferases
Q96PY6	2.7.11.1	Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily	Transferases
Q96Q04	2.7.11.1	Protein kinase superfamily, Tyr protein kinase family	Transferases
Q96Q11	2.7.7.72	TRNA nucleotidyltransferase/poly(A) polymerase family	Transferases
Q96Q15	2.7.11.1	PI3/PI4-kinase family	Transferases
Q96Q40	2.7.11.22	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Transferases
Q96QI5	2.8.2.23	Sulfotransferase 1 family	Transferases
Q96QP1	2.7.11.1	Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily	Transferases
Q96QS6	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q96QT4	2.7.11.1	Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily; Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily	Transferases
Q96RG2	2.7.11.1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	Transferases
Q96RP7	2.8.2.-	Galactose-3-O-sulfotransferase family	Transferases
Q96RR4	2.7.11.17	Protein kinase superfamily, Ser/Thr protein kinase family	Transferases
Q96RS0	2.1.1.-	Methyltransferase superfamily, Trimethylguanosine synthase family	Transferases
Q96S15	2.3.2.27	WD repeat WDR24 family	Transferases
Q96S38	2.7.11.1	Protein kinase superfamily, Ser/Thr protein kinase family, S6 kinase subfamily	Transferases
Q96S44	2.7.11.1; 3.6.-.-	Protein kinase superfamily, BUD32 family	Transferases
Q96S53	2.7.12.1	Protein kinase superfamily, TKL Ser/Thr protein kinase family	Transferases
Q96SB4	2.7.11.1	Protein kinase superfamily, CMGC Ser/Thr protein kinase family	Transferases
Q96SZ6	2.8.4.3	Methylthiotransferase family, MiaB subfamily	Transferases
Q96T53	2.3.1.-	Membrane-bound acyltransferase family	Transferases
Q96T60	2.7.1.78; 3.1.3.32	DNA 3' phosphatase family	Transferases
